Numero de regras = 835
premissa ==> conclusao (suporte,confianca)
{ad.yieldmanager.com ad.doubleclick.net terra gstatic}==>{google yahoo} (0.0057142857,1.0)
{ad.yieldmanager.com bn.uol.com.br ad.doubleclick.net google youtube}==>{yahoo} (0.0057142857,1.0)
{ad.yieldmanager.com bn.uol.com.br globo uai terra}==>{google ad.doubleclick.net yahoo} (0.0057142857,1.0)
{ad.yieldmanager.com bn.uol.com.br terra ad.doubleclick.net orkut google}==>{globo} (0.0057142857,1.0)
{ad.yieldmanager.com bn.uol.com.br terra globo orkut}==>{google ad.doubleclick.net} (0.0057142857,1.0)
{ad.yieldmanager.com orkut bn.uol.com.br view.atdmt.com terra}==>{ad.doubleclick.net} (0.0057142857,1.0)
{ad.yieldmanager.com orkut view.atdmt.com globo rad.msn}==>{google yahoo} (0.0057142857,1.0)
{ad.yieldmanager.com youtube globo}==>{ad.doubleclick.net yahoo} (0.0057142857,1.0)
{ad.yieldmanager.com youtube orkut ad.doubleclick.net}==>{bn.uol.com.br yahoo} (0.0057142857,1.0)
{bn.uol.com.br ad.yieldmanager.com ceipmsn uai}==>{google} (0.0057142857,1.0)
{bn.uol.com.br ad.yieldmanager.com uai globo view.atdmt.com ad.doubleclick.net}==>{google yahoo} (0.0057142857,1.0)
{bn.uol.com.br ad.yieldmanager.com uai rad.msn view.atdmt.com}==>{google yahoo} (0.0057142857,1.0)
{bn.uol.com.br ad.yieldmanager.com view.atdmt.com ceipmsn}==>{yahoo} (0.0057142857,1.0)
{bn.uol.com.br ceipmsn gstatic}==>{google} (0.0057142857,1.0)
{bn.uol.com.br globo ad.yieldmanager.com ceipmsn}==>{google yahoo} (0.0057142857,1.0)
{bn.uol.com.br globo rad.msn terra ad.doubleclick.net}==>{google view.atdmt.com yahoo} (0.0057142857,1.0)
{bn.uol.com.br view.atdmt.com ad.yieldmanager.com youtube}==>{orkut} (0.0057142857,1.0)
{bn.uol.com.br view.atdmt.com orkut youtube}==>{ad.yieldmanager.com} (0.0057142857,1.0)
{bn.uol.com.br yahoo view.atdmt.com ceipmsn}==>{ad.yieldmanager.com} (0.0057142857,1.0)
{ceipmsn ad.yieldmanager.com ad.doubleclick.net bn.uol.com.br}==>{yahoo} (0.0057142857,1.0)
{ceipmsn globo ad.doubleclick.net ad.yieldmanager.com google}==>{yahoo} (0.0057142857,1.0)
{ceipmsn globo ad.doubleclick.net yahoo google}==>{ad.yieldmanager.com} (0.0057142857,1.0)
{ceipmsn google view.atdmt.com globo}==>{yahoo} (0.0057142857,1.0)
{ceipmsn gstatic uai}==>{google} (0.0057142857,1.0)
{ceipmsn youtube ad.doubleclick.net orkut}==>{yahoo} (0.0057142857,1.0)
{ceipmsn youtube ad.doubleclick.net yahoo}==>{orkut} (0.0057142857,1.0)
{globo ad.yieldmanager.com orkut gstatic bn.uol.com.br}==>{google yahoo} (0.0057142857,1.0)
{globo orkut gstatic ad.doubleclick.net}==>{google ad.yieldmanager.com yahoo} (0.0057142857,1.0)
{globo terra rad.msn uai bn.uol.com.br}==>{google view.atdmt.com yahoo} (0.0057142857,1.0)
{globo terra rad.msn uai yahoo}==>{google view.atdmt.com bn.uol.com.br} (0.0057142857,1.0)
{globo terra view.atdmt.com bn.uol.com.br ad.yieldmanager.com}==>{google ad.doubleclick.net} (0.0057142857,1.0)
{globo terra view.atdmt.com bn.uol.com.br uai}==>{google rad.msn yahoo} (0.0057142857,1.0)
{globo uai view.atdmt.com gstatic}==>{ad.yieldmanager.com yahoo} (0.0057142857,1.0)
{globo view.atdmt.com rad.msn uai}==>{google terra bn.uol.com.br yahoo} (0.0057142857,1.0)
{globo view.atdmt.com yahoo terra ad.doubleclick.net uai}==>{google} (0.0057142857,1.0)
{globo yahoo orkut gstatic bn.uol.com.br}==>{google ad.yieldmanager.com} (0.0057142857,1.0)
{globo youtube orkut bn.uol.com.br}==>{yahoo} (0.0057142857,1.0)
{google rad.msn bn.uol.com.br globo orkut}==>{yahoo} (0.0057142857,1.0)
{google terra ad.doubleclick.net ad.yieldmanager.com rad.msn}==>{yahoo} (0.0057142857,1.0)
{google view.atdmt.com ad.doubleclick.net orkut gstatic}==>{yahoo} (0.0057142857,1.0)
{gstatic bn.uol.com.br uai view.atdmt.com}==>{ad.yieldmanager.com yahoo} (0.0057142857,1.0)
{gstatic ceipmsn globo}==>{google} (0.0057142857,1.0)
{gstatic globo terra ad.doubleclick.net yahoo}==>{google} (0.0057142857,1.0)
{gstatic orkut view.atdmt.com globo}==>{google} (0.0057142857,1.0)
{gstatic rad.msn bn.uol.com.br}==>{google ad.yieldmanager.com yahoo} (0.0057142857,1.0)
