Numero de regras = 876
premissa ==> conclusao (suporte,confianca)
{ad.doubleclick.net uai ad.yieldmanager.com view.atdmt.com orkut}==>{google} (0.0056338026,1.0)
{ad.doubleclick.net uai bn.uol.com.br ad.yieldmanager.com globo}==>{yahoo} (0.0056338026,1.0)
{ad.doubleclick.net uai yahoo view.atdmt.com orkut}==>{google} (0.0056338026,1.0)
{ad.doubleclick.net uai youtube}==>{orkut google yahoo} (0.0056338026,1.0)
{ad.doubleclick.net view.atdmt.com gstatic orkut}==>{google ad.yieldmanager.com yahoo} (0.0056338026,1.0)
{ad.doubleclick.net view.atdmt.com gstatic yahoo ad.yieldmanager.com}==>{orkut google} (0.0056338026,1.0)
{ad.doubleclick.net view.atdmt.com yahoo uai terra}==>{google} (0.0056338026,1.0)
{ad.yieldmanager.com ad.doubleclick.net orkut terra uai}==>{google} (0.0056338026,1.0)
{ad.yieldmanager.com bn.uol.com.br youtube ad.doubleclick.net}==>{google yahoo} (0.0056338026,1.0)
{ad.yieldmanager.com google uai youtube}==>{yahoo} (0.0056338026,1.0)
{ad.yieldmanager.com yahoo view.atdmt.com google globo rad.msn}==>{orkut bn.uol.com.br} (0.0056338026,1.0)
{bn.uol.com.br ad.yieldmanager.com uai terra}==>{google yahoo} (0.0056338026,1.0)
{bn.uol.com.br ad.yieldmanager.com youtube globo}==>{orkut google yahoo} (0.0056338026,1.0)
{bn.uol.com.br google globo view.atdmt.com orkut ad.doubleclick.net}==>{ad.yieldmanager.com yahoo} (0.0056338026,1.0)
{bn.uol.com.br google globo view.atdmt.com yahoo ad.yieldmanager.com ad.doubleclick.net}==>{orkut} (0.0056338026,1.0)
{bn.uol.com.br orkut terra uai}==>{google ad.doubleclick.net} (0.0056338026,1.0)
{bn.uol.com.br youtube view.atdmt.com ad.yieldmanager.com}==>{orkut google yahoo} (0.0056338026,1.0)
{ceipmsn bn.uol.com.br google globo}==>{yahoo} (0.0056338026,1.0)
{ceipmsn bn.uol.com.br yahoo globo}==>{google} (0.0056338026,1.0)
{globo ad.doubleclick.net bn.uol.com.br yahoo youtube}==>{orkut google} (0.0056338026,1.0)
{globo ad.yieldmanager.com ceipmsn uai}==>{yahoo} (0.0056338026,1.0)
{globo gstatic bn.uol.com.br ad.yieldmanager.com}==>{orkut google yahoo} (0.0056338026,1.0)
{globo gstatic rad.msn yahoo orkut}==>{google} (0.0056338026,1.0)
{globo gstatic view.atdmt.com ad.yieldmanager.com orkut}==>{google} (0.0056338026,1.0)
{globo gstatic view.atdmt.com rad.msn}==>{orkut google} (0.0056338026,1.0)
{globo gstatic view.atdmt.com yahoo}==>{orkut google} (0.0056338026,1.0)
{globo uai gstatic yahoo}==>{ad.doubleclick.net} (0.0056338026,1.0)
{globo uai orkut bn.uol.com.br ad.yieldmanager.com}==>{google yahoo} (0.0056338026,1.0)
{google ad.doubleclick.net bn.uol.com.br yahoo rad.msn globo ad.yieldmanager.com}==>{orkut} (0.0056338026,1.0)
{google ad.doubleclick.net orkut rad.msn bn.uol.com.br ad.yieldmanager.com}==>{globo yahoo} (0.0056338026,1.0)
{google ad.doubleclick.net orkut rad.msn globo ad.yieldmanager.com}==>{bn.uol.com.br yahoo} (0.0056338026,1.0)
{google ad.yieldmanager.com oss-content.securestudies globo}==>{uai} (0.0056338026,1.0)
{google bn.uol.com.br ad.yieldmanager.com terra view.atdmt.com}==>{globo yahoo} (0.0056338026,1.0)
{google view.atdmt.com rad.msn ad.doubleclick.net uai}==>{bn.uol.com.br yahoo} (0.0056338026,1.0)
{gstatic ad.doubleclick.net view.atdmt.com bn.uol.com.br}==>{google yahoo} (0.0056338026,1.0)
{gstatic globo ad.doubleclick.net terra}==>{google} (0.0056338026,1.0)
{gstatic globo ad.yieldmanager.com yahoo ad.doubleclick.net}==>{orkut google} (0.0056338026,1.0)
{gstatic google globo bn.uol.com.br yahoo ad.doubleclick.net}==>{orkut} (0.0056338026,1.0)
{gstatic orkut globo bn.uol.com.br yahoo ad.doubleclick.net}==>{google} (0.0056338026,1.0)
{gstatic rad.msn view.atdmt.com yahoo bn.uol.com.br}==>{google} (0.0056338026,1.0)
{gstatic terra orkut}==>{globo google} (0.0056338026,1.0)
{gstatic terra view.atdmt.com}==>{google} (0.0056338026,1.0)
{orkut ad.doubleclick.net bn.uol.com.br yahoo youtube}==>{globo google} (0.0056338026,1.0)
{orkut ad.yieldmanager.com ad.doubleclick.net uai gstatic}==>{google yahoo} (0.0056338026,1.0)
{orkut bn.uol.com.br terra view.atdmt.com ad.yieldmanager.com}==>{globo yahoo} (0.0056338026,1.0)
{orkut bn.uol.com.br terra view.atdmt.com yahoo}==>{globo ad.yieldmanager.com} (0.0056338026,1.0)
{orkut globo terra view.atdmt.com yahoo ad.yieldmanager.com}==>{bn.uol.com.br} (0.0056338026,1.0)
{orkut rad.msn terra globo google}==>{view.atdmt.com} (0.0056338026,1.0)
{orkut rad.msn terra view.atdmt.com google}==>{globo} (0.0056338026,1.0)
{orkut rad.msn youtube}==>{google} (0.0056338026,1.0)
{orkut terra ad.doubleclick.net view.atdmt.com ad.yieldmanager.com}==>{globo} (0.0056338026,1.0)
{orkut terra yahoo google uai}==>{ad.yieldmanager.com} (0.0056338026,1.0)
{orkut uai gstatic globo}==>{google ad.doubleclick.net} (0.0056338026,1.0)
{orkut uai rad.msn view.atdmt.com}==>{yahoo} (0.0056338026,1.0)
{orkut uai yahoo youtube}==>{google ad.doubleclick.net} (0.0056338026,1.0)
{orkut view.atdmt.com google globo bn.uol.com.br rad.msn}==>{ad.yieldmanager.com yahoo} (0.0056338026,1.0)
{rad.msn bn.uol.com.br gstatic globo}==>{google yahoo} (0.0056338026,1.0)
{rad.msn bn.uol.com.br gstatic orkut}==>{google yahoo} (0.0056338026,1.0)
{rad.msn bn.uol.com.br youtube}==>{yahoo} (0.0056338026,1.0)
{rad.msn gstatic yahoo ad.yieldmanager.com}==>{orkut google view.atdmt.com} (0.0056338026,1.0)
{rad.msn uai orkut google}==>{yahoo} (0.0056338026,1.0)
{rad.msn view.atdmt.com orkut ad.doubleclick.net ad.yieldmanager.com globo}==>{bn.uol.com.br yahoo} (0.0056338026,1.0)
{rad.msn view.atdmt.com orkut ad.doubleclick.net bn.uol.com.br}==>{globo ad.yieldmanager.com yahoo} (0.0056338026,1.0)
{rad.msn view.atdmt.com yahoo ad.doubleclick.net globo}==>{orkut bn.uol.com.br ad.yieldmanager.com} (0.0056338026,1.0)
{rad.msn yahoo orkut terra}==>{view.atdmt.com} (0.0056338026,1.0)
{terra bn.uol.com.br youtube globo}==>{orkut google yahoo} (0.0056338026,1.0)
{terra bn.uol.com.br youtube orkut}==>{globo google yahoo} (0.0056338026,1.0)
{terra google youtube ad.doubleclick.net}==>{bn.uol.com.br yahoo} (0.0056338026,1.0)
